2021-02-04 22:34:02,517 [Worker-124: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:34:27,530 [Worker-124: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:34:27,532 [Worker-124: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:34:27,534 [Worker-124: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:34:27,537 [Worker-124: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:35:58,709 [Worker-120: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:35:58,710 [Worker-120: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:35:58,711 [Worker-120: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:35:58,712 [Worker-120: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:36:42,612 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:36:42,613 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:36:42,615 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:36:42,616 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:37:38,910 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:37:38,911 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:37:38,913 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:37:38,915 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:37:45,991 [Worker-134: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:37:45,993 [Worker-134: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:37:46,037 [Worker-134: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:37:46,039 [Worker-134: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:38:05,910 [Worker-120: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:05,912 [Worker-120: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:38:05,914 [Worker-120: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:05,915 [Worker-120: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:38:27,660 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:27,661 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:38:27,678 [Worker-130: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:27,704 [Worker-130: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:38:35,337 [Worker-133: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:35,337 [Worker-133: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:38:35,339 [Worker-133: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:35,342 [Worker-133: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 22:38:39,886 [Worker-133: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:39,887 [Worker-133: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 22:38:39,890 [Worker-133: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 22:38:39,894 [Worker-133: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 23:12:59,507 [Worker-138: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
